"Crude.Oil"	"Rapeseed"	"Biodiesel"
"2006-05-12"	0.0639069986747538	-0.178809345256576	-0.0563281971651248
"2006-05-19"	0.117243136563807	-0.159354958228808	-0.0116161527080916
"2006-05-26"	0.140586270472956	-0.161404434282762	-0.0202376909883411
"2006-06-02"	0.115210398408505	-0.157666733947642	-0.0281143776935444
"2006-06-09"	0.116563003554415	-0.159501926558701	-0.0180370235830747
"2006-06-16"	0.0703809362918157	-0.176747951831036	-0.0219007166956526
"2006-06-23"	0.0978380027591372	-0.181303052220369	-0.0281668862538673
"2006-06-30"	0.125228833573658	-0.195313057832363	-0.019509100871276
"2006-07-07"	0.103935881300545	-0.162235136101273	-0.0172358838406037
"2006-07-14"	0.167425314887978	-0.146149243515491	-0.0198007876794977
"2006-07-21"	0.119485654904155	-0.130719181480375	-0.0127230906692954
"2006-07-28"	0.104483474529721	-0.125491867118255	-0.0257298122358334
"2006-08-04"	0.12748460762178	-0.129986015399972	-0.0177371063532403
"2006-08-11"	0.135437903635432	-0.134685006317984	0.0152629657666674
"2006-08-18"	0.0773127344322262	-0.143048193098392	0.0153166749975258
"2006-08-25"	0.0927396547066737	-0.121077043051033	0.0147058652329761
"2006-09-01"	0.0561951753524479	-0.12962533452578	0.0123881840438909
"2006-09-08"	0.00366481366190285	-0.125798646336002	0.0102589867097489
"2006-09-15"	-0.0176241893396343	-0.149287927651828	-0.0135966595297159
"2006-09-22"	-0.0765037834658644	-0.136300153876833	-0.0234662999016786
"2006-09-29"	-0.0321367692077938	-0.145865269016892	-0.0347004809859568
"2006-10-06"	-0.0659271974459799	-0.126888822888304	-0.0391583108731828
"2006-10-13"	-0.0548943239382043	-0.102872257440742	-0.0382576152295364
"2006-10-20"	-0.0772832548323246	-0.0863388357444386	-0.0349881391067148
"2006-10-27"	-0.0609658560804665	-0.087018702488721	-0.0378519581011867
"2006-11-03"	-0.0759493759693557	-0.100505202931044	-0.050177872116647
"2006-11-10"	-0.06494741266647	-0.110534802603951	-0.0448805312340035
"2006-11-17"	-0.0637688161159842	-0.102295686107101	-0.0420960976774234
"2006-11-24"	-0.0180069160825056	-0.0864441430448313	-0.042389064445568
"2006-12-01"	0.0520654759216006	-0.0800024004711579	-0.0416945153617476
"2006-12-08"	0.0196009598947633	-0.0812486351973565	-0.0415948427703414
"2006-12-15"	0.0386939293510586	-0.0931628835437142	-0.0426796535865916
"2006-12-22"	0.0221487280120396	-0.0970230074487572	-0.0420888442779148
"2006-12-29"	-0.0156043557385352	-0.0976568467337122	-0.023194418545514
"2007-01-05"	-0.105404052168325	-0.118117587383251	-0.00989414955217871
"2007-01-12"	-0.165388790738872	-0.117773667177714	-0.024583308910926
"2007-01-19"	-0.154958580449803	-0.121515515988594	-0.0435761408786339
"2007-01-26"	-0.112190264192338	-0.127866141457049	-0.0467253417128921
"2007-02-02"	-0.0629894103683633	-0.107615087002287	-0.0499774275376659
"2007-02-09"	-0.0656720740740413	-0.126811659584427	-0.0537285115969404
"2007-02-16"	-0.0979676187636569	-0.148932274410293	-0.0559016232873857
"2007-02-23"	-0.0928850072269825	-0.149693192824079	-0.0546134846018047
"2007-03-02"	-0.0875207047285773	-0.153250088157556	-0.0579722595201932
"2007-03-09"	-0.115907466554792	-0.178215697302276	-0.0509734301032969
"2007-03-16"	-0.148595668240207	-0.192316571493977	-0.0512730804120727
"2007-03-23"	-0.101348928638213	-0.212571261892962	-0.0573738840418088
"2007-03-30"	-0.0439974304534623	-0.243668561349817	-0.0616188791985186
"2007-04-06"	-0.0613202418916963	-0.230831949857841	-0.0515886392723273
