"Date"	"Crude.Oil"	"Rapeseed"	"Biodiesel"
"270"	2008-07-18	512.9340055	703.796588545617	1431
"271"	2008-07-25	497.3352767	685.589477668663	1417.7
"272"	2008-08-01	501.6752456	673.60616136444	1406
"273"	2008-08-08	471.73575	661.970818931866	1406
"274"	2008-08-15	476.138617	650.924354124834	1387.7
"275"	2008-08-22	480.6672802	640.707670697237	1378.95704810843
"276"	2008-08-29	480.1011973	631.561672402967	1374.6
"277"	2008-09-05	452.1115428	623.727262995918	1362.9
"278"	2008-09-12	420.2222061	612.59534168244	1355.9
"279"	2008-09-19	426.7636085	594.166666666667	1354.6
"280"	2008-09-26	439.7835152	603.275134969158	1357.7
"281"	2008-10-03	403.176821	574.351690009357	1361.3
"282"	2008-10-10	357.3870042	522.5	1332.3
"283"	2008-10-17	318.7046727	522.690479999397	1305.3
"284"	2008-10-24	305.8105622	537.949100694769	1286.77526622518
"285"	2008-10-31	321.7866796	535.416666666667	1272.7
"286"	2008-11-07	284.3623101	546.83522796765	1255.7
"287"	2008-11-14	253.7938335	523.156595536814	1233
"288"	2008-11-21	234.6728111	505.665781612603	1218.6
"289"	2008-11-28	256.8129423	504.126599449981	1145.6
"290"	2008-12-05	193.8519442	442.943805970905	1236
"291"	2008-12-12	216.2436678	446.772405054584	1168.9
"292"	2008-12-19	188.3169114	426.021918405122	1170.5
"293"	2008-12-26	158.4403139	426.001988558555	1157.54299455727
"294"	2009-01-02	216.1807697	455	1126.24761455152
"295"	2009-01-09	203.6011497	494.16199332444	1130.1
"296"	2009-01-16	209.1990806	487.097797418982	1181.5
"297"	2009-01-23	230.3957403	493.710887334136	1174.38038816843
"298"	2009-01-30	222.8479683	475.028164903776	1145.1
"299"	2009-02-06	226.0557714	469.271478685208	1151.2
"300"	2009-02-13	215.111502	476.807603173713	1160.49127637875
"301"	2009-02-20	204.4817231	458.620033921171	1152.3
"302"	2009-02-27	223.0995607	443.075815203171	1117.8
"303"	2009-03-06	223.3511531	443.318224517806	1070.6
"304"	2009-03-13	216.998445	439.080229603881	1060.7
"305"	2009-03-20	231.1505175	447.962454727569	1076
"306"	2009-03-27	239.4530667	445.097972497246	1053.4
"307"	2009-04-03	252.4100753	458.663493641528	1085.2
"308"	2009-04-10	257.4419233	466.003403774714	1049
"309"	2009-04-17	252.7874639	494.348277882483	1080.7
"310"	2009-04-24	242.0947869	500.724829894016	1063.2
"311"	2009-05-01	248.5103931	493.197278174911	1073.2
"312"	2009-05-08	268.3232946	522.087436514665	1082.1
"313"	2009-05-15	257.0645347	524.713523821554	1099.6
"314"	2009-05-22	268.9522756	530.303693461886	1110.7
"315"	2009-05-29	290.1489353	524.784622531494	1089
"316"	2009-06-05	304.9299888	534.235290119908	1057.83717544113
"317"	2009-06-12	318.6417746	522.951190511232	1036.5
"318"	2009-06-19	309.2070596	498.27958135553	1042.2
"319"	2009-06-26	305.684766	481.866802635825	1068.2
"320"	2009-07-03	292.6019612	486.906670399796	1037.1
"321"	2009-07-10	268.6377851	462.29344702464	1031.7
"322"	2009-07-17	287.2556227	457.285910835017	1006.4
"323"	2009-07-24	308.7038748	435.529322863755	1005.8
"324"	2009-07-31	312.7293532	432.916666666667	1011.5
"325"	2009-08-07	324.4283998	446.556395406321	1021.5
"326"	2009-08-14	313.6728247	457.068295834	1026.18
"327"	2009-08-21	324.8057884	455.544096114745	1084
"328"	2009-08-28	319.7739404	457.085037490108	1084
